,County,Zipcode,Rent Arrears Applications,Prospective Rent Applications,Utility Arrears Applications,Household Income,Total:,"Speak English ""very well"" TOTAL","Speak English less than ""very well"" TOTAL ",Speak only English,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
105,Kings,11225,"1,563","1,270",346,"$59,820 ",100.00%,19.72%,7.99%,72.29%,28.49%,60.91%,0.23%,2.84%,0.00%,4.26%,3.27%,0.81%,2.46%
106,Kings,11226,"3,194","2,623",830,"$58,257 ",100.00%,22.51%,14.31%,63.18%,15.99%,67.98%,0.30%,3.09%,0.00%,10.40%,2.24%,0.45%,1.79%
107,Kings,11228,295,254,52,"$72,902 ",100.00%,27.96%,32.24%,39.80%,53.82%,1.29%,0.16%,37.47%,0.08%,4.84%,2.35%,0.76%,1.58%
108,Kings,11229,"1,030",823,143,"$64,631 ",100.00%,24.01%,33.30%,42.69%,63.77%,6.14%,0.25%,22.99%,0.05%,3.92%,2.88%,0.22%,2.65%
109,Kings,11230,"1,417","1,191",283,"$53,070 ",100.00%,24.23%,29.98%,45.79%,71.11%,7.44%,0.39%,13.31%,0.03%,4.70%,3.01%,0.41%,2.60%
110,Kings,11231,586,443,61,"$99,643 ",100.00%,17.14%,7.94%,74.92%,66.31%,15.30%,0.57%,5.87%,0.80%,6.08%,5.07%,0.52%,4.55%
111,Kings,11232,357,298,89,"$61,200 ",100.00%,28.89%,35.11%,36.00%,44.83%,7.19%,1.48%,18.57%,0.07%,23.44%,4.43%,1.00%,3.43%
112,Kings,11233,"2,862","2,233",592,"$44,905 ",100.00%,13.84%,5.75%,80.40%,10.95%,76.99%,0.11%,1.94%,0.02%,7.76%,2.23%,0.34%,1.89%
113,Kings,11234,"1,004",810,162,"$85,807 ",100.00%,21.50%,13.67%,64.84%,41.24%,45.28%,0.31%,7.25%,0.00%,4.28%,1.64%,0.40%,1.24%
114,Kings,11235,"1,036",878,172,"$54,646 ",100.00%,23.58%,51.45%,24.97%,75.45%,2.17%,0.10%,13.67%,0.00%,4.90%,3.71%,0.22%,3.49%
115,Kings,11236,"1,998","1,553",299,"$70,793 ",100.00%,15.79%,8.87%,75.34%,5.73%,85.98%,0.12%,2.69%,0.01%,4.07%,1.41%,0.28%,1.13%
116,Kings,11237,953,787,201,"$53,303 ",100.00%,36.45%,28.37%,35.18%,37.19%,13.82%,1.19%,6.84%,0.10%,36.97%,3.89%,1.55%,2.34%
117,Queens,11237,1,1,,,100.00%,36.45%,28.37%,35.18%,37.19%,13.82%,1.19%,6.84%,0.10%,36.97%,3.89%,1.55%,2.34%
118,Kings,11238,905,714,182,"$91,846 ",100.00%,16.16%,4.95%,78.89%,49.89%,34.11%,0.07%,5.98%,0.03%,4.20%,5.73%,0.74%,4.99%
119,Kings,11239,491,379,45,"$29,172 ",100.00%,13.92%,23.26%,62.82%,29.68%,58.69%,2.00%,3.82%,0.00%,4.58%,1.22%,0.31%,0.92%
120,Queens,11354,700,568,95,"$40,786 ",100.00%,15.94%,62.45%,21.61%,19.95%,3.19%,0.20%,64.07%,0.01%,9.49%,3.08%,1.06%,2.03%
121,Queens,11355,"1,058",873,151,"$42,507 ",100.00%,16.74%,69.20%,14.05%,12.41%,3.36%,0.53%,72.58%,0.04%,8.95%,2.12%,0.84%,1.29%
122,Queens,11356,368,302,71,"$61,859 ",100.00%,19.37%,50.91%,29.72%,31.49%,2.39%,0.19%,32.23%,0.32%,28.79%,4.59%,2.47%,2.12%
123,Queens,11357,194,158,24,"$85,818 ",100.00%,25.77%,23.56%,50.66%,68.58%,0.62%,0.10%,23.27%,0.04%,4.91%,2.48%,0.62%,1.87%
124,Queens,11358,355,302,59,"$68,848 ",100.00%,23.59%,44.23%,32.18%,41.55%,0.83%,0.47%,47.58%,0.00%,6.85%,2.71%,0.51%,2.20%
125,Queens,11360,78,64,18,"$83,063 ",100.00%,26.29%,24.52%,49.19%,57.04%,1.16%,0.12%,37.02%,0.00%,3.13%,1.54%,0.63%,0.91%
126,Queens,11361,217,177,33,"$87,892 ",100.00%,27.85%,28.24%,43.91%,48.53%,4.35%,0.03%,41.35%,0.00%,4.30%,1.44%,0.40%,1.04%
127,Queens,11362,48,39,4,"$93,333 ",100.00%,29.16%,26.20%,44.64%,48.83%,3.39%,0.00%,41.69%,0.00%,3.32%,2.78%,0.08%,2.70%
128,Queens,11363,37,32,2,"$101,019 ",100.00%,29.70%,18.05%,52.26%,57.71%,1.94%,0.00%,33.67%,0.00%,4.13%,2.55%,0.00%,2.55%
129,Queens,11364,173,148,36,"$82,028 ",100.00%,26.78%,30.86%,42.36%,40.03%,3.82%,0.83%,50.28%,0.01%,3.05%,1.97%,0.14%,1.83%
130,Queens,11365,589,467,59,"$67,642 ",100.00%,29.23%,31.19%,39.58%,33.26%,9.53%,0.39%,44.41%,0.03%,7.63%,4.74%,2.24%,2.50%
131,Queens,11366,106,88,16,"$84,301 ",100.00%,34.71%,30.65%,34.64%,41.84%,5.85%,0.00%,44.02%,0.00%,5.31%,2.99%,0.12%,2.87%
132,Queens,11367,568,460,73,"$63,546 ",100.00%,27.85%,29.12%,43.03%,54.69%,7.28%,0.51%,27.28%,0.00%,5.65%,4.59%,0.86%,3.73%
133,Queens,11368,"2,067","1,670",483,"$54,211 ",100.00%,32.29%,55.28%,12.43%,36.44%,9.25%,0.80%,12.16%,0.01%,38.74%,2.61%,1.04%,1.57%
134,Queens,11369,578,463,85,"$54,184 ",100.00%,31.93%,40.90%,27.18%,25.96%,17.14%,0.32%,13.13%,0.02%,39.94%,3.48%,1.32%,2.16%
135,Queens,11370,368,300,50,"$63,706 ",100.00%,29.27%,33.18%,37.54%,42.08%,14.35%,1.24%,22.69%,0.00%,17.52%,2.11%,0.68%,1.43%
136,Queens,11372,"1,186",983,255,"$60,659 ",100.00%,33.26%,46.06%,20.68%,54.42%,2.75%,0.35%,21.04%,0.13%,17.65%,3.66%,1.37%,2.29%
137,Queens,11373,"1,552","1,281",279,"$54,584 ",100.00%,35.57%,51.50%,12.93%,17.90%,2.01%,0.69%,48.72%,0.01%,28.28%,2.40%,1.13%,1.27%
138,Queens,11374,583,495,112,"$66,795 ",100.00%,36.52%,31.90%,31.58%,53.42%,4.24%,0.10%,31.57%,0.00%,5.20%,5.46%,0.77%,4.69%
139,Queens,11375,571,497,89,"$84,713 ",100.00%,35.12%,21.96%,42.92%,60.01%,2.70%,0.20%,28.80%,0.00%,3.37%,4.92%,0.72%,4.20%
140,Queens,11377,"1,482","1,232",219,"$58,948 ",100.00%,32.07%,43.11%,24.83%,47.24%,3.01%,0.42%,37.13%,0.00%,8.96%,3.24%,0.96%,2.28%
141,Queens,11378,396,336,64,"$77,710 ",100.00%,32.97%,24.94%,42.09%,71.88%,1.82%,0.39%,10.27%,0.08%,12.01%,3.54%,1.69%,1.85%
142,Queens,11379,295,240,55,"$83,883 ",100.00%,30.13%,18.96%,50.91%,77.84%,1.11%,0.31%,11.03%,0.00%,7.13%,2.59%,1.11%,1.48%
143,Queens,11385,"1,344","1,088",242,"$75,340 ",100.00%,34.02%,24.67%,41.31%,80.95%,2.62%,0.17%,6.52%,0.00%,7.10%,2.63%,0.81%,1.82%
144,Queens,11411,199,151,22,"$98,207 ",100.00%,14.53%,5.78%,79.69%,3.24%,92.85%,0.07%,0.27%,0.00%,2.13%,1.44%,0.85%,0.59%
145,Queens,11412,605,478,93,"$81,608 ",100.00%,8.19%,5.72%,86.09%,2.50%,87.88%,0.72%,2.57%,0.24%,4.15%,1.94%,0.48%,1.46%
146,Queens,11413,629,511,101,"$93,432 ",100.00%,8.05%,4.71%,87.24%,2.42%,91.46%,0.36%,1.21%,0.14%,2.97%,1.44%,0.36%,1.08%
147,Queens,11414,195,155,33,"$75,471 ",100.00%,22.35%,10.22%,67.43%,80.50%,2.64%,0.00%,4.23%,0.00%,7.09%,5.55%,2.94%,2.61%
148,Queens,11415,316,269,72,"$70,900 ",100.00%,33.33%,20.65%,46.03%,60.68%,6.99%,1.10%,16.24%,0.08%,11.16%,3.76%,0.89%,2.87%
149,Queens,11416,508,396,76,"$73,370 ",100.00%,35.82%,24.42%,39.76%,28.29%,6.22%,0.05%,33.07%,0.11%,25.15%,7.10%,4.30%,2.80%
