Zipcode,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:,Two races including Some other race,"Two races excluding Some other race, and three or more races"
11106,53.34%,7.73%,0.16%,21.06%,0.02%,12.86%,4.83%,1.43%,3.40%
11109,65.02%,0.92%,0.00%,30.35%,0.00%,0.57%,3.14%,0.00%,3.14%
11201,64.25%,13.20%,0.32%,12.39%,0.08%,3.95%,5.81%,0.95%,4.86%
11203,4.42%,88.98%,0.19%,1.83%,0.00%,2.93%,1.65%,0.50%,1.14%
11204,56.75%,1.25%,0.30%,32.96%,0.01%,6.64%,2.09%,0.29%,1.80%
11205,51.38%,31.00%,0.61%,6.33%,0.01%,6.71%,3.95%,0.62%,3.34%
11206,46.44%,24.65%,0.59%,6.75%,0.14%,17.44%,3.98%,1.06%,2.93%
11207,15.10%,65.25%,0.24%,1.79%,0.08%,15.19%,2.35%,0.73%,1.62%
11208,27.23%,53.76%,0.21%,6.01%,0.06%,10.65%,2.08%,0.81%,1.28%
11209,73.26%,3.17%,0.32%,13.25%,0.09%,5.86%,4.03%,1.14%,2.89%
11210,31.66%,58.67%,0.09%,4.06%,0.00%,3.76%,1.76%,0.31%,1.45%
11211,74.91%,6.46%,0.54%,5.59%,0.02%,9.05%,3.44%,0.90%,2.54%
11212,8.44%,79.83%,0.09%,1.12%,0.06%,7.33%,3.13%,0.64%,2.49%
11213,24.31%,65.21%,0.22%,2.31%,0.02%,4.60%,3.33%,0.55%,2.78%
11214,47.95%,1.97%,0.28%,37.00%,0.01%,9.72%,3.07%,0.50%,2.57%
11215,77.28%,4.60%,0.16%,8.13%,0.00%,4.30%,5.54%,0.60%,4.94%
11216,31.26%,53.99%,0.28%,5.30%,0.02%,4.35%,4.80%,0.65%,4.15%
11217,58.05%,20.35%,0.08%,8.39%,0.04%,8.18%,4.90%,0.48%,4.42%
11218,60.62%,7.89%,0.58%,18.66%,0.00%,7.75%,4.51%,0.63%,3.88%
11219,66.68%,1.19%,0.33%,23.77%,0.02%,7.05%,0.97%,0.30%,0.66%
11220,31.13%,2.81%,0.45%,41.43%,0.00%,21.21%,2.96%,1.39%,1.57%
11221,27.69%,46.94%,0.60%,3.48%,0.02%,17.42%,3.85%,1.26%,2.59%
11222,82.52%,3.58%,0.19%,4.39%,0.00%,4.61%,4.72%,1.48%,3.24%
11223,56.83%,4.67%,0.36%,25.15%,0.20%,9.40%,3.38%,0.20%,3.18%
11224,57.32%,22.13%,0.16%,7.47%,0.01%,9.82%,3.09%,0.48%,2.61%
11225,28.49%,60.91%,0.23%,2.84%,0.00%,4.26%,3.27%,0.81%,2.46%
11226,15.99%,67.98%,0.30%,3.09%,0.00%,10.40%,2.24%,0.45%,1.79%
11228,53.82%,1.29%,0.16%,37.47%,0.08%,4.84%,2.35%,0.76%,1.58%
11229,63.77%,6.14%,0.25%,22.99%,0.05%,3.92%,2.88%,0.22%,2.65%
11230,71.11%,7.44%,0.39%,13.31%,0.03%,4.70%,3.01%,0.41%,2.60%
11231,66.31%,15.30%,0.57%,5.87%,0.80%,6.08%,5.07%,0.52%,4.55%
11232,44.83%,7.19%,1.48%,18.57%,0.07%,23.44%,4.43%,1.00%,3.43%
11233,10.95%,76.99%,0.11%,1.94%,0.02%,7.76%,2.23%,0.34%,1.89%
11234,41.24%,45.28%,0.31%,7.25%,0.00%,4.28%,1.64%,0.40%,1.24%
11235,75.45%,2.17%,0.10%,13.67%,0.00%,4.90%,3.71%,0.22%,3.49%
11236,5.73%,85.98%,0.12%,2.69%,0.01%,4.07%,1.41%,0.28%,1.13%
11237,37.19%,13.82%,1.19%,6.84%,0.10%,36.97%,3.89%,1.55%,2.34%
11238,49.89%,34.11%,0.07%,5.98%,0.03%,4.20%,5.73%,0.74%,4.99%
11239,29.68%,58.69%,2.00%,3.82%,0.00%,4.58%,1.22%,0.31%,0.92%
11354,19.95%,3.19%,0.20%,64.07%,0.01%,9.49%,3.08%,1.06%,2.03%
11355,12.41%,3.36%,0.53%,72.58%,0.04%,8.95%,2.12%,0.84%,1.29%
11356,31.49%,2.39%,0.19%,32.23%,0.32%,28.79%,4.59%,2.47%,2.12%
11357,68.58%,0.62%,0.10%,23.27%,0.04%,4.91%,2.48%,0.62%,1.87%
11358,41.55%,0.83%,0.47%,47.58%,0.00%,6.85%,2.71%,0.51%,2.20%
